DEBUG 2025-05-08 17:06:18,000 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\pandas\api\types\__init__.py first seen with mtime 1744484128.1290996
DEBUG 2025-05-08 17:06:18,001 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\django\db\models\__init__.py first seen with mtime 1744465212.3261034
DEBUG 2025-05-08 17:06:18,001 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\pytz\exceptions.py first seen with mtime 1744484116.4220731
DEBUG 2025-05-08 17:06:18,001 autoreload 7104 25060 File C:\Users\Нияз\AppData\Local\Programs\Python\Python312\Lib\asyncio\selector_events.py first seen with mtime 1712656218.0
DEBUG 2025-05-08 17:06:18,010 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\numpy\_core\_string_helpers.py first seen with mtime 1744484117.581308
DEBUG 2025-05-08 17:06:18,010 autoreload 7104 25060 File C:\Users\Нияз\AppData\Local\Programs\Python\Python312\Lib\email\_encoded_words.py first seen with mtime 1712656218.0
DEBUG 2025-05-08 17:06:18,011 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\django\template\base.py first seen with mtime 1744465212.5022528
DEBUG 2025-05-08 17:06:18,011 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\pandas\core\tools\datetimes.py first seen with mtime 1744484128.5019338
DEBUG 2025-05-08 17:06:18,011 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\numpy\lib\npyio.py first seen with mtime 1744484117.2151923
DEBUG 2025-05-08 17:06:18,012 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\numpy\random\_bounded_integers.cp312-win_amd64.pyd first seen with mtime 1744484117.3410404
DEBUG 2025-05-08 17:06:18,012 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\numpy\lib\_histograms_impl.py first seen with mtime 1744484117.2309637
DEBUG 2025-05-08 17:06:18,012 autoreload 7104 25060 File C:\Users\Нияз\AppData\Local\Programs\Python\Python312\Lib\nturl2path.py first seen with mtime 1712656218.0
